,code,title
0,ACB1020,Accounting in business
1,ACB1120,Financial accounting 1
2,ACB2120,Financial accounting 2
3,ACB2220,Management accounting 1
4,ACB2420,Accounting information systems
5,ACB3120,Financial accounting 3
6,ACB3220,Management accounting 2
7,ACB3620, Assurance and audit services
8,ACC1100,Introduction to financial accounting
9,ACC1200,Accounting for managers
10,ACC2100,Financial accounting
11,ACC2200,Introduction to management accounting
12,ACC2400,Accounting information systems
13,ACC3100,Advanced financial accounting
14,ACC3200,Management accounting
15,ACC3600,Auditing and assurance
16,ACF1100,Introduction to financial accounting
17,ACF1200,Accounting for managers
18,ACF2100,Financial accounting
19,ACF2200,Introduction to management accounting
20,ACF2400,Accounting information systems
21,ACF3100,Advanced financial accounting
22,ACF3200,Management accounting
23,ACF3600,Auditing and assurance
24,ACF5000,Business communication for accounting professionals
25,ACF5003,Research project 1
26,ACF5004,Research project 2
27,ACF5080,Management control systems
28,ACF5100,Strategic management accounting
29,ACF5120,Forensic accounting and fraud examination
30,ACF5130,Financial statement analysis and business valuation
31,ACF5150,Financial reporting issues
32,ACF5268,Accounting for healthcare managers
33,ACF5320,Business analytics
34,ACF5330,Integrated systems for business enterprises
35,ACF5350,Applied contemporary accounting
36,ACF5510,Integrated accounting
37,ACF5904,Accounting information systems
38,ACF5950,Introduction to financial accounting
39,ACF5953,Financial accounting
40,ACF5955,Management accounting
41,ACF5956,Advanced financial accounting
42,ACF5957,Auditing and assurance
43,ACI5903,Resource allocation and business model performance
44,ACM5903,Accounting for business
45,ACO5160,Introduction to accounting analytics
46,ACO5170,Predictive analytics in business
47,ACW1020,Accounting in business
48,ACW1120,Financial accounting 1
49,ACW2120,Financial accounting 2
50,ACW2220,Management accounting 1
51,ACW2420,Accounting information systems
52,ACW3120,Financial accounting 3
53,ACW3220,Management accounting 2
54,ACW3620,Assurance and audit services
55,ACW3900,Global issues in accounting
56,ACX1100,Introduction to financial accounting
57,ACX1200,Accounting for managers
58,ACX2100,Financial accounting
59,ACX2200,Introduction to management accounting
60,ACX2400,Accounting information systems
61,ACX2900,Accounting for sustainability
62,ACX3150,Financial analysis and valuation
63,ACX3250,Advanced management accounting
64,ACX3300,Predictive analytics in accounting
65,ACX3500,International study program in accounting
66,ACX3900,Global issues in accounting
67,ACX4000,Research methods
68,ACX4018,Honours research thesis
69,ACX4019,Honours research project 1
